nom_poblacio;comarca;altitud;poblacio
Sant Quintí de Mediona;Alt Penedès;326;2393
Sant Quirze de Besora;Osona;587;2142
Sant Quirze del Vallès;Vallès Occidental;188;20180
Sant Quirze Safaja;Moianès;627;672
Sant Ramon;Segarra;641;480
Sant Sadurní d'Anoia;Alt Penedès;162;12863
Sant Sadurní d'Osormort;Osona;531;90
Sant Salvador de Guardiola;Bages;334;3351
Sant Vicenç de Castellet;Bages;176;9949
Sant Vicenç de Montalt;Maresme;143;6661
Sant Vicenç de Torelló;Osona;555;2077
Sant Vicenç dels Horts;Baix Llobregat;22;28079
Santa Bàrbara;Montsià;79;3791
Santa Cecília de Voltregà;Osona;519;185
Santa Coloma de Cervelló;Baix Llobregat;73;8309
Santa Coloma de Farners;Selva;142;13557
Santa Coloma de Gramenet;Barcelonès;56;117981
Santa Coloma de Queralt;Conca de Barberà;674;2755
Santa Cristina d'Aro;Baix Empordà;30;5585
Santa Eugènia de Berga;Osona;538;2256
Santa Eulàlia de Riuprimer;Osona;568;1401
Santa Eulàlia de Ronçana;Vallès Oriental;236;7740
Santa Fe del Penedès;Alt Penedès;240;370
Santa Llogaia d'Àlguema;Alt Empordà;42;379
Santa Margarida de Montbui;Anoia;316;10294
Santa Margarida i els Monjos;Alt Penedès;161;7624
Santa Maria d'Oló;Moianès;542;1063
Santa Maria de Besora;Osona;866;159
Santa Maria de Martorelles;Vallès Oriental;181;889
Santa Maria de Merlès;Berguedà;532;184
Santa Maria de Miralles;Anoia;543;138
Santa Maria de Palautordera;Vallès Oriental;208;9777
Santa Oliva;Baix Penedès;101;3560
Santa Pau;Garrotxa;496;1605
Santa Perpètua de Mogoda;Vallès Occidental;74;25930
Santa Susanna;Maresme;10;3755
Santpedor;Bages;336;7612
Sarral;Conca de Barberà;467;1578
Sarrià de Ter;Gironès;70;5294
Sarroca de Bellera;Pallars Jussà;1002;113
Sarroca de Lleida;Segrià;201;365
Saus, Camallera i Llampaies;Alt Empordà;86;865
Savallà del Comtat;Conca de Barberà;825;52
Secuita, la;Tarragonès;169;1765
Selva de Mar, la;Alt Empordà;48;220
Selva del Camp, la;Baix Camp;246;5696
Senan;Conca de Barberà;652;44
Sénia, la;Montsià;369;5475
Senterada;Pallars Jussà;729;161
Sentiu de Sió, la;Noguera;281;417
Sentmenat;Vallès Occidental;207;9417
Serinyà;Pla de l'Estany;188;1153
Seròs;Segrià;103;1890
Serra de Daró;Baix Empordà;15;233
Setcases;Ripollès;1265;200
Seu d'Urgell, la;Alt Urgell;691;12261
Seva;Osona;663;3736
Sidamon;Pla d'Urgell;232;759
Sils;Selva;76;6507
Sitges;Garraf;10;31222
Siurana;Alt Empordà;33;178
Sobremunt;Osona;881;83
Soleràs, el;Garrigues;381;330
Solivella;Conca de Barberà;489;628
Solsona;Solsonès;664;9131
Sora;Osona;716;219
Soriguera;Pallars Sobirà;1258;429
Sort;Pallars Sobirà;692;2192
Soses;Segrià;118;1784
Subirats;Alt Penedès;243;3241
Sudanell;Segrià;152;873
Sunyer;Segrià;211;332
Súria;Bages;326;5921
Susqueda;Selva;816;96
Tagamanent;Vallès Oriental;354;340
Talamanca;Bages;552;219
Talarn;Pallars Jussà;572;562
Talavera;Segarra;791;291
Tallada d'Empordà, la;Baix Empordà;20;480
Taradell;Osona;623;6699
Tarragona;Tarragonès;68;134883
Tàrrega;Urgell;373;17810
Tarrés;Garrigues;578;105
Tarroja de Segarra;Segarra;460;175
Tavèrnoles;Osona;537;329
Tavertet;Osona;869;116
Teià;Maresme;128;6635
Térmens;Noguera;208;1363
Terrades;Alt Empordà;228;345
Terrassa;Vallès Occidental;277;224114
Tiana;Maresme;136;9110
Tírvia;Pallars Sobirà;991;132
Tiurana;Noguera;387;71
Tivenys;Baix Ebre;13;923
Tivissa;Ribera d'Ebre;309;1643
Tona;Osona;596;8368
Torà;Segarra;448;1224
Tordera;Maresme;34;18022
Torelló;Osona;508;14726
Torms, els;Garrigues;476;149
Tornabous;Urgell;289;847
Torre de Cabdella, la;Pallars Jussà;1075;764
Torre de Claramunt, la;Anoia;363;3966
Torre de Fontaubella, la;Priorat;369;125
Torre de l'Espanyol, la;Ribera d'Ebre;164;598
Torrebesses;Segrià;287;300
Torredembarra;Tarragonès;15;17256
Torrefarrera;Segrià;214;4730
Torrefeta i Florejacs;Segarra;475;621
Torregrossa;Pla d'Urgell;232;2155
Torrelameu;Noguera;201;765
Torrelavit;Alt Penedès;202;1457
Torrelles de Foix;Alt Penedès;367;2557
Torrelles de Llobregat;Baix Llobregat;126;6186
Torrent;Baix Empordà;44;166
Torres de Segre;Segrià;119;2248
Torre-serona;Segrià;197;387
Torroella de Fluvià;Alt Empordà;9;741
Torroella de Montgrí;Baix Empordà;31;12061
Torroja del Priorat;Priorat;332;141
Tortellà;Garrotxa;276;823
Tortosa;Baix Ebre;12;33890
Toses;Ripollès;1444;185
Tossa de Mar;Selva;5;5956
Tremp;Pallars Jussà;468;5847
Ullà;Baix Empordà;21;1195
Ullastrell;Vallès Occidental;342;2139
Ullastret;Baix Empordà;49;250
Ulldecona;Montsià;133;6241
Ulldemolins;Priorat;650;409
Ultramort;Baix Empordà;30;224
Urús;Cerdanya;1263;214
Vacarisses;Vallès Occidental;382;7325
Vajol, la;Alt Empordà;546;87
Vall d'en Bas, la;Garrotxa;510;3143
Vall de Bianya, la;Garrotxa;367;1345
Vall de Boí, la;Alta Ribagorça;1111;1090
Vall de Cardós;Pallars Sobirà;898;386
Vallbona d'Anoia;Anoia;289;1387
Vallbona de les Monges;Urgell;481;227
Vallcebre;Berguedà;1123;268
Vallclara;Conca de Barberà;625;88
Vallfogona de Balaguer;Noguera;235;1935
Vallfogona de Ripollès;Ripollès;956;222
Vallfogona de Riucorb;Conca de Barberà;573;89
Vallgorguina;Vallès Oriental;222;3144
Vallirana;Baix Llobregat;177;15658
Vall-llobrega;Baix Empordà;49;926
Vallmoll;Alt Camp;161;1882
Vallromanes;Vallès Oriental;153;2632
Valls;Alt Camp;215;24727
Valls d'Aguilar, les;Alt Urgell;669;274
Valls de Valira, les;Alt Urgell;740;794
Vandellòs i l'Hospitalet de l'Infant;Baix Camp;281;6750
Vansa i Fórnols, la;Alt Urgell;989;166
Veciana;Anoia;564;182
Vendrell, el;Baix Penedès;49;39072
Ventalló;Alt Empordà;28;911
Verdú;Urgell;434;851
Verges;Baix Empordà;23;1162
Vespella de Gaià;Tarragonès;191;496
Vic;Osona;484;47545
Vidrà;Osona;982;181
Vidreres;Selva;93;8167
Vielha e Mijaran;Val d'Aran;974;5581
Vilabella;Alt Camp;254;711
Vilabertran;Alt Empordà;19;991
Vilablareix;Gironès;99;3396
Vilada;Berguedà;757;439
Viladamat;Alt Empordà;13;479
Viladasens;Gironès;96;216
Viladecans;Baix Llobregat;18;66720
Viladecavalls;Vallès Occidental;274;7644
Vilademuls;Pla de l'Estany;120;840
Viladrau;Osona;821;1103
Vilafant;Alt Empordà;54;5562
Vilafranca del Penedès;Alt Penedès;223;40056
Vilagrassa;Urgell;355;605
Vilajuïga;Alt Empordà;31;1142
Vilalba dels Arcs;Terra Alta;450;634
Vilalba Sasserra;Vallès Oriental;200;748
Vilaller;Alta Ribagorça;981;532
Vilallonga de Ter;Ripollès;1067;410
Vilallonga del Camp;Tarragonès;124;2398
Vilamacolum;Alt Empordà;5;386
Vilamalla;Alt Empordà;45;1166
Vilamaniscle;Alt Empordà;169;204
Vilamòs;Val d'Aran;1255;172
Vilanant;Alt Empordà;98;401
Vilanova d'Escornalbou;Baix Camp;226;594
Vilanova de Bellpuig;Pla d'Urgell;290;1179
Vilanova de l'Aguda;Noguera;409;200
Vilanova de la Barca;Segrià;195;1110
Vilanova de Meià;Noguera;633;413
Vilanova de Prades;Conca de Barberà;893;107
Vilanova de Sau;Osona;558;320
Vilanova de Segrià;Segrià;255;1021
Vilanova del Camí;Anoia;302;12699
Vilanova del Vallès;Vallès Oriental;91;5557
Vilanova i la Geltrú;Garraf;22;68152
Vilaplana;Baix Camp;366;540
Vila-rodona;Alt Camp;259;1341
Vila-sacra;Alt Empordà;16;785
Vila-sana;Pla d'Urgell;249;767
Vila-seca;Tarragonès;45;22681
Vilassar de Dalt;Maresme;142;9128
Vilassar de Mar;Maresme;10;21067
Vilaür;Alt Empordà;65;162
Vilaverd;Conca de Barberà;269;453
Vilella Alta, la;Priorat;327;136
Vilella Baixa, la;Priorat;218;202
Vilobí d'Onyar;Selva;122;3304
Vilobí del Penedès;Alt Penedès;286;1130
Vilopriu;Baix Empordà;82;223
Vilosell, el;Garrigues;665;195
Vimbodí i Poblet;Conca de Barberà;496;884
Vinaixa;Garrigues;479;465
Vinebre;Ribera d'Ebre;34;407
Vinyols i els Arcs;Baix Camp;95;2258
Viver i Serrateix;Berguedà;729;166
Xerta;Baix Ebre;12;1150
